"","pclass","survived","sex","age","sibsp","parch"
"1",1,2,1,29,0,0
"2",1,2,2,0.916700006,1,2
"3",1,1,1,2,1,2
"4",1,1,2,30,1,2
"5",1,1,1,25,1,2
"6",1,2,2,48,0,0
"7",1,2,1,63,1,0
"8",1,1,2,39,0,0
"9",1,2,1,53,2,0
"10",1,1,2,71,0,0
"11",1,1,2,47,1,0
"12",1,2,1,18,1,0
"13",1,2,1,24,0,0
"14",1,2,1,26,0,0
"15",1,2,2,80,0,0
"16",1,1,2,NA,0,0
"17",1,1,2,24,0,1
"18",1,2,1,50,0,1
"19",1,2,1,32,0,0
"20",1,1,2,36,0,0
"21",1,2,2,37,1,1
"22",1,2,1,47,1,1
"23",1,2,2,26,0,0
"24",1,2,1,42,0,0
"25",1,2,1,29,0,0
"26",1,1,2,25,0,0
"27",1,2,2,25,1,0
"28",1,2,1,19,1,0
"29",1,2,1,35,0,0
"30",1,2,2,28,0,0
"31",1,1,2,45,0,0
"32",1,2,2,40,0,0
"33",1,2,1,30,0,0
"34",1,2,1,58,0,0
"35",1,1,2,42,0,0
"36",1,2,1,45,0,0
"37",1,2,1,22,0,1
"38",1,2,2,NA,0,0
"39",1,1,2,41,0,0
"40",1,1,2,48,0,0
"41",1,1,2,NA,0,0
"42",1,2,1,44,0,0
"43",1,2,1,59,2,0
"44",1,2,1,60,0,0
"45",1,2,1,41,0,0
"46",1,1,2,45,0,0
"47",1,1,2,NA,0,0
"48",1,2,2,42,0,0
"49",1,2,1,53,0,0
"50",1,2,2,36,0,1
"51",1,2,1,58,0,1
"52",1,1,2,33,0,0
"53",1,1,2,28,0,0
"54",1,1,2,17,0,0
"55",1,2,2,11,1,2
"56",1,2,1,14,1,2
"57",1,2,2,36,1,2
"58",1,2,1,36,1,2
"59",1,1,2,49,0,0
"60",1,2,1,NA,0,0
"61",1,1,2,36,1,0
"62",1,2,1,76,1,0
"63",1,1,2,46,1,0
"64",1,2,1,47,1,0
"65",1,2,2,27,1,0
"66",1,2,1,33,1,0
"67",1,2,1,36,0,0
"68",1,2,1,30,0,0
"69",1,2,2,45,0,0
"70",1,2,1,NA,0,1
"71",1,1,2,NA,0,0
"72",1,1,2,27,1,0
"73",1,2,1,26,1,0
"74",1,2,1,22,0,0
"75",1,1,2,NA,0,0
"76",1,1,2,47,0,0
"77",1,2,1,39,1,1
"78",1,1,2,37,1,1
"79",1,2,1,64,0,2
"80",1,2,1,55,2,0
"81",1,1,2,NA,0,0
"82",1,1,2,70,1,1
"83",1,2,1,36,0,2
"84",1,2,1,64,1,1
"85",1,1,2,39,1,0
"86",1,2,1,38,1,0
"87",1,2,2,51,0,0
"88",1,2,2,27,0,0
"89",1,2,1,33,0,0
"90",1,1,2,31,1,0
"91",1,2,1,27,1,2
"92",1,2,2,31,1,0
"93",1,2,1,17,1,0
"94",1,2,2,53,1,1
"95",1,2,2,4,0,2
"96",1,2,1,54,1,1
"97",1,1,2,50,1,0
"98",1,2,1,27,1,1
"99",1,2,1,48,1,0
"100",1,2,1,48,1,0
"101",1,2,2,49,1,0
"102",1,1,2,39,0,0
"103",1,2,1,23,0,1
"104",1,2,1,38,0,0
"105",1,2,1,54,1,0
"106",1,1,1,36,0,0
"107",1,1,2,NA,0,0
